18;0;-2;17
32;0;0;11;16;0;0;11;16
33;11;0;11;16;0;0;11;16
34;22;0;11;16;0;0;11;16
35;33;0;11;16;0;0;11;16
36;44;0;11;16;0;0;11;16
37;55;0;11;16;0;0;11;16
38;66;0;11;16;0;0;11;16
39;77;0;11;16;0;0;11;16
40;88;0;11;16;0;0;11;16
41;99;0;11;16;0;0;11;16
42;110;0;11;16;0;0;11;16
43;121;0;11;16;0;0;11;16
44;132;0;11;16;0;0;11;16
45;143;0;11;16;0;0;11;16
46;154;0;11;16;0;0;11;16
47;165;0;11;16;0;0;11;16
48;176;0;11;16;0;0;11;16
49;187;0;11;16;0;0;11;16
50;198;0;11;16;0;0;11;16
51;209;0;11;16;0;0;11;16
52;220;0;11;16;0;0;11;16
53;231;0;11;16;0;0;11;16
54;242;0;11;16;0;0;11;16
55;253;0;11;16;0;0;11;16
56;264;0;11;16;0;0;11;16
57;275;0;11;16;0;0;11;16
58;286;0;11;16;0;0;11;16
59;297;0;11;16;0;0;11;16
60;308;0;11;16;0;0;11;16
61;319;0;11;16;0;0;11;16
62;330;0;11;16;0;0;11;16
63;341;0;11;16;0;0;11;16
64;352;0;11;16;0;0;11;16
65;363;0;11;16;0;0;11;16
66;374;0;11;16;0;0;11;16
67;385;0;11;16;0;0;11;16
68;396;0;11;16;0;0;11;16
69;407;0;11;16;0;0;11;16
70;418;0;11;16;0;0;11;16
71;429;0;11;16;0;0;11;16
72;440;0;11;16;0;0;11;16
73;451;0;11;16;0;0;11;16
74;462;0;11;16;0;0;11;16
75;473;0;11;16;0;0;11;16
76;484;0;11;16;0;0;11;16
77;495;0;11;16;0;0;11;16
78;506;0;11;16;0;0;11;16
79;517;0;11;16;0;0;11;16
80;528;0;11;16;0;0;11;16
81;539;0;11;16;0;0;11;16
82;550;0;11;16;0;0;11;16
83;561;0;11;16;0;0;11;16
84;572;0;11;16;0;0;11;16
85;583;0;11;16;0;0;11;16
86;594;0;11;16;0;0;11;16
87;605;0;11;16;0;0;11;16
88;616;0;11;16;0;0;11;16
89;627;0;11;16;0;0;11;16
90;638;0;11;16;0;0;11;16
91;649;0;11;16;0;0;11;16
92;660;0;11;16;0;0;11;16
93;671;0;11;16;0;0;11;16
94;682;0;11;16;0;0;11;16
95;693;0;11;16;0;0;11;16
96;704;0;11;16;0;0;11;16
97;715;0;11;16;0;0;11;16
98;726;0;11;16;0;0;11;16
99;737;0;11;16;0;0;11;16
100;748;0;11;16;0;0;11;16
101;759;0;11;16;0;0;11;16
102;770;0;11;16;0;0;11;16
103;781;0;11;16;0;0;11;16
104;792;0;11;16;0;0;11;16
105;803;0;11;16;0;0;11;16
106;814;0;11;16;0;0;11;16
107;825;0;11;16;0;0;11;16
108;836;0;11;16;0;0;11;16
109;847;0;11;16;0;0;11;16
110;858;0;11;16;0;0;11;16
111;869;0;11;16;0;0;11;16
112;880;0;11;16;0;0;11;16
113;891;0;11;16;0;0;11;16
114;902;0;11;16;0;0;11;16
115;913;0;11;16;0;0;11;16
116;924;0;11;16;0;0;11;16
117;935;0;11;16;0;0;11;16
118;946;0;11;16;0;0;11;16
119;957;0;11;16;0;0;11;16
120;968;0;11;16;0;0;11;16
121;979;0;11;16;0;0;11;16
122;990;0;11;16;0;0;11;16
123;1001;0;11;16;0;0;11;16
124;1012;0;11;16;0;0;11;16
